shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
M12_5X12_4,12.4,3.63,12.5,3.75,0.155,0.228,0.563,0.375,89.3,16.5,14.2,4.96,2.01,1.68,1.07,0.744,0.0493,76.0,11.5,2.46,2.51,8.06,0.933,12.3,35.5,39.3,28.8,32.5,11.375,–
M12_5X11_6,11.6,3.4,12.5,3.5,0.155,0.211,0.563,0.375,80.3,15.0,12.8,4.86,1.51,1.37,0.864,0.667,0.0414,57.1,10.8,1.99,2.17,7.36,0.852,12.3,34.8,38.3,28.5,32.0,11.375,–
M12X11_8,11.8,3.47,12.0,3.07,0.177,0.225,0.563,0.375,72.2,14.3,12.0,4.56,1.09,1.15,0.709,0.559,0.05,37.7,9.04,1.56,1.92,7.02,0.731,11.8,32.4,35.5,27.1,30.1,10.875,–
M12X10_8,10.8,3.18,12.0,3.07,0.16,0.21,0.563,0.375,66.7,13.2,11.1,4.58,1.01,1.07,0.661,0.564,0.0393,35.0,9.05,1.46,1.8,6.48,0.732,11.8,32.4,35.5,27.0,30.1,10.875,–
M12X10,10.0,2.95,12.0,3.25,0.149,0.18,0.5,0.375,61.7,12.2,10.3,4.57,1.03,1.02,0.636,0.592,0.0292,35.9,9.6,1.4,1.65,5.98,0.768,11.8,33.0,36.2,27.2,30.4,11.0,–
M10X9,9.0,2.65,10.0,2.69,0.157,0.206,0.563,0.375,39.0,9.22,7.79,3.83,0.672,0.809,0.5,0.503,0.0314,16.1,6.59,0.91,1.28,4.52,0.65,9.79,27.4,30.1,22.7,25.4,8.875,–
M10X8,8.0,2.37,9.95,2.69,0.141,0.182,0.563,0.375,34.6,8.2,6.95,3.82,0.593,0.711,0.441,0.5,0.0224,14.2,6.57,0.8,1.13,4.01,0.646,9.77,27.3,30.0,22.6,25.3,8.875,–
M10X7_5,7.5,2.22,9.99,2.69,0.13,0.173,0.438,0.3125,33.0,7.77,6.6,3.85,0.562,0.67,0.418,0.503,0.0187,13.5,6.6,0.77,1.09,3.8,0.646,9.82,27.4,30.1,22.7,25.4,9.125,–
M8X6_5,6.5,1.92,8.0,2.28,0.135,0.189,0.563,0.375,18.5,5.43,4.63,3.11,0.376,0.529,0.329,0.443,0.0184,5.73,4.45,0.48,0.79,2.66,0.563,7.81,22.3,24.5,18.3,20.6,6.875,–
M8X6_2,6.2,1.82,8.0,2.28,0.129,0.177,0.438,0.25,17.6,5.15,4.39,3.1,0.352,0.495,0.308,0.439,0.0156,5.38,4.46,0.45,0.74,2.52,0.56,7.82,22.3,24.6,18.3,20.6,7.125,–
M6X4_4,4.4,1.29,6.0,1.84,0.114,0.171,0.375,0.25,7.23,2.8,2.41,2.36,0.18,0.311,0.195,0.372,0.0099,1.53,2.68,0.21,0.43,1.37,0.467,5.83,17.0,18.9,13.8,15.7,5.25,–
M6X3_7,3.7,1.09,5.92,2.0,0.098,0.129,0.313,0.25,5.96,2.33,2.01,2.34,0.173,0.273,0.173,0.398,0.0053,1.45,2.9,0.19,0.36,1.14,0.499,5.79,17.4,19.4,13.8,15.8,5.25,–
M5X18_9,18.9,5.56,5.0,5.0,0.316,0.416,0.813,0.5,24.2,11.1,9.67,2.08,8.7,5.33,3.48,1.25,0.313,45.7,5.73,2.98,2.23,5.45,1.44,4.58,23.8,28.8,15.0,20.0,3.375,2.75
M4X6,6.0,1.75,3.8,3.8,0.13,0.16,0.5,0.375,4.72,2.74,2.48,1.64,1.47,1.18,0.771,0.915,0.0184,4.87,3.46,0.53,0.53,1.3,1.04,3.64,18.2,22.0,11.4,15.2,2.75,–
M4X4_08,4.08,1.27,4.0,2.25,0.115,0.17,0.563,0.375,3.53,2.0,1.77,1.67,0.325,0.453,0.289,0.506,0.0147,1.19,2.15,0.21,0.35,0.93,0.593,3.83,14.0,16.2,10.3,12.5,2.875,–
M3X2_9,2.9,0.914,3.0,2.25,0.09,0.13,0.5,0.375,1.5,1.12,1.0,1.28,0.248,0.344,0.221,0.521,0.0079,0.511,1.61,0.12,0.2,0.5,0.597,2.87,12.0,14.3,8.25,10.5,2.0,–
